MARKET_ID_BLINDED,PRODUCT_ID_BLINDED,COEFF_INTERCEPT_STD,COEFF_UNIT_PRICE_STD,COEFF_NUMBER_OF_STORES_SELLING_STD,P_VALUE_INTERCEPT,P_VALUE_UNIT_PRICE_STD,P_VALUE_NUMBER_OF_STORES_SELLING_STD,R2_TRAIN,R2_TEST,STD_UNIT_PRICE_ORIGINAL,STD_NUMBER_OF_STORES_SELLING_ORIGINAL,STD_ADJUSTED_PHYSICAL_VOL,MEAN_UNIT_PRICE_ORIGINAL,MEAN_NUMBER_OF_STORES_SELLING_ORIGINAL,MEAN_ADJUSTED_PHYSICAL_VOL
M00045,P008871244949,1.1428955876001052,-0.1117478835047432,0.588968131140158,1.7613979200485006e-16,0.02793115673294753,6.649480939179009e-11,0.8864406647607067,0.6239656614551046,1.6630881985940802,2.5589459077499406,0.6124053288069252,34.783041013003334,5.130434782608695,1.1428955876001055
M01316,P002496971635,2.1511451888557724,-0.09591423749367492,1.1248717959634513,1.4586604823326202e-29,0.31701379143775005,9.2742609071048e-17,0.7205440120177737,0.6976973447443773,2.7534513805867813,1.4585024815556278,1.33224742468286,15.076531360402054,2.896551724137931,2.1511451888557724
M01120,P019312521392,353.8286713598203,-10.070360279555512,62.91036064145722,3.7092165557894255e-50,0.23230992766363853,1.8294008100380116e-10,0.4942068054331147,0.48300465204823906,2.611361277473862,37.85521698948708,93.44790533387979,20.92151120794682,195.91253623188405,353.82867135982036
M00207,P000634912400,880.1723408772302,-23.136169029651903,127.63127899368142,8.770262084801385e-62,0.09908433006033686,1.7112981860666864e-13,0.5642058780087813,0.5421811901300595,1.1017896960233093,55.85608348155411,165.34135273871792,39.665862089527735,361.69468115942027,880.1723408772298
M00182,P000182686195,28.2086388126743,-0.6577833090316699,3.928795665564863,7.236235189800478e-45,0.4102136468545,5.412003839352294e-06,0.27197878352362814,0.21968939971841506,2.535770251521272,14.955051659608765,7.527010861009151,77.28618099401787,107.36527536231883,28.2086388126743
M00207,P006792611190,255.17507198465722,-2.578291945341121,9.93063436370474,1.1348006005649704e-70,0.4554162079831079,0.0051795773771541815,0.12531781208678372,0.14769516150502682,1.2342394180157943,10.029996147033897,24.727741773489818,24.943337069484077,206.99643478260862,255.1750719846572
M00208,P002496971635,1.2211899622099065,-0.2134011153788451,0.6273985627260729,5.4850426016084e-19,0.018645570901266683,3.2126239534151004e-09,0.5256037085998938,0.4649561300507704,3.0265373325219067,0.7136240321480628,0.9103750097760911,14.109190329218107,1.5,1.2211899622099065
M00418,P012511500276,329.02730037442257,-36.3125729998292,14.53465797974324,4.20187628762597e-62,6.945011079411701e-10,0.005289330939088491,0.5121686000357565,0.5497579280504521,3.1781485249924164,16.259499964228496,57.761309000512775,31.537653089843957,427.11568115942043,329.02730037442257
M00182,P010294451377,334.5954880012346,-20.015131038757097,19.91618218155614,1.094005596525768e-61,0.0002633362281298083,0.0002805891480527273,0.3474224779021231,0.28498908392305033,2.876946085343692,21.166415253377902,51.53891139105537,33.29193908896018,420.6915797101448,334.5954880012347
M01120,P003071460730,207.3422059648088,4.822119069906716,57.547124610998765,1.0403603767136715e-64,0.21374172820447593,6.410841278304219e-23,0.8733389014735304,0.810156376354454,1.4639615986562284,40.83295204482296,65.14531586232488,22.12451255093475,168.7246376811594,207.3422059648088
